theta1,theta2,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,energy
2.5,87.5,-0.00025392134193175764,-0.0021158026941278515,268.87039109548607,-0.7340440169609799,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.011222313636873687,107.46037369578254,-4627.639717621152
2.5,82.5,-0.0004744233083252762,-0.003037366804760966,268.874889414149,-0.7156127359505855,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.018704808456847508,107.30073895329144,-4627.770082335226
2.5,77.5,-0.0009739223072978466,-0.004330977322506702,268.8848562982241,-0.6897405259763565,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.034140788351902575,107.00632082330544,-4628.015018500785
2.5,72.5,-0.0022175764551994434,-0.006014484208811189,268.909767325555,-0.6560703884279075,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.07050077280161214,106.27741202252011,-4628.651913313274
2.5,67.5,-0.005658264406722888,-0.008001345604626061,268.9785686250526,-0.6163331603966234,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.1718931825570192,104.25065736293651,-4630.474164584922
2.5,62.5,-0.016293909403626447,-0.010132220314346673,269.1913203742105,-0.5737156667506467,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.43962801120770567,98.89357780367561,-4635.320906592435
2.5,57.5,-0.04902277023627047,-0.012262164804286522,269.84577245721505,-0.5311167770509122,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.8658929664504088,90.36932855833616,-4642.7566987151495
2.5,52.5,-0.006467532114720597,-0.014313054214361609,268.9947070244935,-0.490098988582779,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,1.4311382616415051,79.06438946045711,-4654.26593581338
2.5,47.5,2.569939779019323,-0.01626730462930198,217.4666167890203,-0.4510139803954774,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,2.083260929952018,66.02164224505181,-4715.571112527041
2.5,42.5,10.696804792896861,-0.018140786089465878,54.92935500990479,-0.41354435140655194,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,2.7809984816945743,52.0667746014601,-4883.203043236599
2.5,37.5,13.462589387389302,-0.01996040808086247,-0.38637539149946226,-0.3771519116041968,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,3.4864700308858816,37.95770870561071,-4949.122010572359
2.5,32.5,13.510753845685574,-0.021747979952730766,-1.3496860606372565,-0.3414004725735374,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,4.150203772718304,24.685602474835818,-4962.611565404984
2.5,27.5,13.468529511372639,-0.023504296827175256,-0.5051893360890444,-0.30627413676056764,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,4.6963106405883535,13.761976328202554,-4972.153442274573
2.5,22.5,13.453502779482921,-0.02519084446231207,-0.20410409390778966,-0.27254318387861926,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.073756948987068,6.213801758750934,-4979.0060676200865
2.5,17.5,13.448105857893765,-0.02671767457456998,-0.0967168684271884,-0.2420065823140106,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.229681087872584,3.0940797259236064,-4981.838865438685
2.5,12.5,13.445972186592629,-0.027955443560265546,-0.054099292497613395,-0.21725120166889358,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.28933539359247,1.9008772291860827,-4982.908412113416
2.5,7.5,13.445072766142252,-0.02877341074878576,-0.036049418450825675,-0.20089185830726702,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.314642304637715,1.3954220678904765,-4983.355868533897
2.5,2.5,13.44472388713503,-0.02907165286304621,-0.02907165286307338,-0.19492701572123164,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.3243523112904985,1.2001923684879752,-4983.529092739594
