theta1,theta2,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,energy
12.5,77.5,-0.0010828054232939876,-0.002153314990485441,268.9132067741455,-1.256170748979742,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.03414078849418899,107.00522102949124,-4627.886461319322
12.5,72.5,-0.0023769273778902686,-0.002827465720259628,268.9390779416235,-1.242687735200017,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.07050077485973695,106.28045250361325,-4628.537483950262
12.5,67.5,-0.005875202986622239,-0.003662573964855534,269.00903301107337,-1.2259855705006373,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.17189317464730464,104.24971437017642,-4630.384505833615
12.5,62.5,-0.016566844299055465,-0.004673522471323844,269.2228861912543,-1.2057666013754185,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.43962804641115316,98.89474216960045,-4635.24937360294
12.5,57.5,-0.04934155793399946,-0.005886411502717864,269.87837899862035,-1.1815088221290024,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.8658928285043705,90.37022238761006,-4642.701865618891
12.5,52.5,-0.00681555598569118,-0.007352546377482185,269.0278593965887,-1.1521861231594996,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,1.43114129416973,79.06385870495426,-4654.22311787187
12.5,47.5,2.5695846823646247,-0.009165224462770509,217.4998636876404,-1.115932561328427,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,2.083261545859148,66.02183028926721,-4715.53018062272
12.5,42.5,10.696469861557935,-0.011482355168335012,54.962157227609886,-1.0695899381231733,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,2.781006191036401,52.06678265569673,-4883.15427939945
12.5,37.5,13.462318035920498,-0.014555470208219928,-0.35482659748438433,-1.0081276469457687,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,3.4864168921129357,37.95790517167161,-4949.050492656993
12.5,32.5,13.5106046336999,-0.01874216946024505,-1.3205364052283697,-0.9243936625957208,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,4.150071440510899,24.685599363194633,-4962.497019841939
12.5,27.5,13.468573383060704,-0.02439864468138792,-0.4799398357060753,-0.8112641580174887,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,4.696241777234117,13.761974640198279,-4971.968435879972
12.5,22.5,13.453788059420312,-0.03145561407108942,-0.18422501468908348,-0.6701247702765967,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,5.073698003959462,6.213801437512181,-4978.724140940205
12.5,17.5,13.448713846547173,-0.03889434556881316,-0.08274969048690796,-0.5213501406861532,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,5.229690459661314,3.094079541854853,-4981.4501333707385
12.5,12.5,13.446839497914738,-0.04523144019919631,-0.04523144019919639,-0.3946082476135313,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,5.2893150626332375,1.9008770873896512,-4982.427662522135
12.5,7.5,13.446120855958897,-0.04972922510796822,-0.030861383893013166,-0.3046525496252039,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,5.3145972031273745,1.3954221706082437,-4982.808725970992
12.5,2.5,13.445895635688403,-0.05252885425542245,-0.026385005331468505,-0.24865996666401255,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,5.324650972593495,1.200192382362715,-4982.936457877667
17.5,87.5,-0.00030416263422674834,-0.0011109768431286674,268.9414794232249,-2.1541244086841047,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.011222313608192489,107.46347556011692,-4627.185437102254
17.5,82.5,-0.0005532468850651477,-0.001460895259271609,268.9464427974046,-2.1471260379087718,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.018704808572561786,107.31332273315745,-4627.3167446919615
17.5,77.5,-0.0010941877731458964,-0.001925667920969815,268.9572830213618,-2.1378305873555115,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.03414078849418899,107.00522102949124,-4627.590280454745
17.5,72.5,-0.002391650342154514,-0.0025330073096748455,268.9832057642182,-2.1256838112797505,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.07050077485973695,106.28045250361325,-4628.242524277283
17.5,67.5,-0.005892548975041194,-0.00331565418306099,269.05324659517623,-2.110030863860465,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.17189317464730464,104.24971437017642,-4630.090459778061
17.5,62.5,-0.01658458815227431,-0.004318645515665151,269.2670870275093,-2.089971036644188,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.43962804641115316,98.89474216960045,-4634.955491877834
17.5,57.5,-0.04935518522952665,-0.005613865839143251,269.92251517720024,-2.0640666316426994,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,0.8658928285043705,90.37022238761006,-4642.40648014044
17.5,52.5,-0.00681692678294656,-0.007325152779229734,269.0717473140083,-2.0298408923831577,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,1.43114129416973,79.06385870495426,-4653.923310509856
17.5,47.5,2.5696100894438136,-0.009672346516199217,217.54320279131093,-1.982897019129434,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,2.083261545859148,66.02183028926721,-4715.220739500807
17.5,42.5,10.696548477865315,-0.013052423874550481,55.004442661114304,-1.9152954717718307,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,2.781006191036401,52.06678265569673,-4882.825642760976
17.5,37.5,13.462504406794583,-0.018181463588275576,-0.31459729254737695,-1.812714676337897,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,3.4864168921129357,37.95790517167161,-4948.684741812936
17.5,32.5,13.510979409160955,-0.026253652170636386,-1.2841925399582594,-1.6512709072206007,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,4.150071440510899,24.685599363194633,-4962.061141737526
17.5,27.5,13.469285778562838,-0.03863903912772952,-0.45032488583719993,-1.403563165628256,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,4.696241777234117,13.761974640198279,-4971.411099745641
17.5,22.5,13.4549481633599,-0.05489921197487514,-0.1638132679792404,-1.0783597115009538,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,5.073698003959462,6.213801437512181,-4978.000699437666
17.5,17.5,13.4503159938008,-0.07090731756341297,-0.07090731756341424,-0.7581975975598019,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,5.229690459661314,3.094079541854853,-4980.572001088412
17.5,12.5,13.448714015904391,-0.08274969048691025,-0.03889434556881362,-0.5213501406861675,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,5.2893150626332375,1.9008770873896512,-4981.450162861857
17.5,7.5,13.448140333372722,-0.0901277202653557,-0.027404534107051834,-0.3737895453699727,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,5.3145972031273745,1.3954221706082437,-4981.7792369436775
17.5,2.5,13.447991937308997,-0.09437034400010112,-0.024371150214946957,-0.28893706888080456,-42.61148202871651,-4967.158353636122,5.229681087872583,3.0940797259236077,5.324650972593495,1.200192382362715,-4981.880918121874
22.5,87.5,-0.0003068370748343552,-0.0010574880336660412,269.05042412677153,-4.333475288951787,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.011222313608192489,107.46347556011692,-4626.291994570663
22.5,82.5,-0.0005569174749763151,-0.0013874835092679652,269.0554339008091,-4.326875386465739,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.018704808572561786,107.31332273315745,-4626.423635302011
22.5,77.5,-0.0010987619860500912,-0.0018341837193566273,269.0662957254933,-4.317941384781119,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.03414078849418899,107.00522102949124,-4626.697493744107
22.5,72.5,-0.002396438522360069,-0.0024372428859103677,269.0922400627893,-4.305880201129156,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.07050077485973695,106.28045250361325,-4627.349797498376
22.5,67.5,-0.00589567900809795,-0.0032530537025069217,269.1622333170255,-4.289563984779513,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.17189317464730464,104.24971437017642,-4629.197148812741
22.5,62.5,-0.016582042354766936,-0.004369560930967533,269.3759818931287,-4.267233839624758,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.43962804641115316,98.89474216960045,-4634.0601102908695
22.5,57.5,-0.04933904642017583,-0.005936640618373232,270.0310953474918,-4.235892242922885,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,0.8658928285043705,90.37022238761006,-4641.506234323456
22.5,52.5,-0.00677174545437761,-0.008228798965955514,269.17973505684563,-4.1900490771487995,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,1.43114129416973,79.06385870495426,-4653.012591522699
22.5,47.5,2.569715544671086,-0.011782061516173682,217.6500128464402,-4.118983829925171,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,2.083261545859148,66.02183028926721,-4714.288222622304
22.5,42.5,10.69678097178739,-0.017710683888285558,55.10870295470419,-4.000411371814756,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,2.781006191036401,52.06678265569673,-4881.847126239578
22.5,37.5,13.463014137467196,-0.028432012616091375,-0.21593374897517237,-3.785984801124624,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,3.4864168921129357,37.95790517167161,-4947.605291318564
22.5,32.5,13.512108319023671,-0.048847445448142124,-1.1978722779004922,-3.3776761882972486,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,4.150071440510899,24.685599363194633,-4960.758893746017
22.5,27.5,13.47158375286129,-0.08459670252997163,-0.38736849287600794,-2.6626910150006835,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,4.696241777234117,13.761974640198279,-4969.687132997214
22.5,22.5,13.458664877979514,-0.12901957440683454,-0.12901957440683381,-1.7742335744010245,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,5.073698003959462,6.213801437512181,-4975.768385360863
22.5,17.5,13.454955306023292,-0.16381326797923923,-0.05489921197487546,-1.0783597115009458,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,5.229690459661314,3.094079541854853,-4978.000623841016
22.5,12.5,13.453787757084784,-0.18422501469375782,-0.03145561407108897,-0.6701247702767716,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,5.2893150626332375,1.9008770873896512,-4978.724102449034
22.5,7.5,13.453392652934083,-0.1951752372276144,-0.02353799568130054,-0.45112031346802606,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,5.3145972031273745,1.3954221706082437,-4978.988698476808
22.5,2.5,13.453317940812667,-0.20098923650088163,-0.02207598706355881,-0.3348403320955809,-42.61148202871651,-4967.158353636122,5.073756948987086,6.213801758750862,5.324650972593495,1.200192382362715,-4979.0620212169915
27.5,87.5,-0.00030686494546970807,-0.0010569306222364492,269.35320301403834,-10.388922229133872,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.011222313608192489,107.46347556011692,-4624.873933832985
27.5,82.5,-0.0005566340692532595,-0.001393151607802978,269.35822134282927,-10.382197821667136,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.018704808572561786,107.31332273315745,-4625.005447418833
27.5,77.5,-0.001097409920664198,-0.0018612244472117042,269.3690438146959,-10.37283636285112,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.03414078849418899,107.00522102949124,-4625.278938060585
27.5,72.5,-0.002392297481581547,-0.0025200636849466084,269.39490513988153,-10.359659617876556,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.07050077485973695,106.28045250361325,-4625.930262256737
27.5,67.5,-0.005885107480182841,-0.0034644840735247656,269.4648590826685,-10.340771173915082,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.17189317464730464,104.24971437017642,-4627.775202834024
27.5,62.5,-0.016557546835319747,-0.004859471726527998,269.67823649248777,-10.312871407410318,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.43962804641115316,98.89474216960045,-4632.63323041352
27.5,57.5,-0.04928501537855717,-0.007017261323564724,270.3327873382999,-10.26971562655777,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,0.8658928285043705,90.37022238761006,-4640.068664044894
27.5,52.5,-0.006653960097630094,-0.010584383932459345,269.48017338362456,-10.198373162867746,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,1.43114129416973,79.06385870495426,-4651.551986820197
27.5,47.5,2.569978672327477,-0.017044276307564762,217.94748653696556,-10.069175346047848,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,2.083261545859148,66.02183028926721,-4712.775211273984
27.5,42.5,10.697406810710888,-0.03022193187342548,55.39895930186952,-9.805622229805342,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,2.781006191036401,52.06678265569673,-4880.203237898413
27.5,37.5,13.46463845862665,-0.06097186447438023,0.054298175743978445,-9.190623586373277,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,3.4864168921129357,37.95790517167161,-4945.59988544874
27.5,32.5,13.516471963579972,-0.13627434014118284,-0.9825273814576173,-7.684574067911043,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,4.150071440510899,24.685599363194633,-4957.762781718272
27.5,27.5,13.480831750991673,-0.2695706854097879,-0.2695706854098113,-5.018647173281931,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,4.696241777234117,13.761974640198279,-4964.930289071726
27.5,22.5,13.471581269019424,-0.38736849287587716,-0.08459670252998373,-2.662691015000701,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,5.073698003959462,6.213801437512181,-4969.687124195963
27.5,17.5,13.469285889223453,-0.45032488583951574,-0.038639039127730354,-1.4035631656287115,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,5.229690459661314,3.094079541854853,-4971.411019895904
27.5,12.5,13.468571920229905,-0.4799398357065795,-0.02439864468138817,-0.8112641580168363,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,5.2893150626332375,1.9008770873896512,-4971.9683872642
27.5,7.5,13.4683428728194,-0.4942285235196748,-0.019819493808491944,-0.5254903515225505,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,5.3145972031273745,1.3954221706082437,-4972.172724818344
27.5,2.5,13.468339263213487,-0.5014312108864276,-0.019746171689554705,-0.3814366393114477,-42.61148202871651,-4967.158353636122,4.696310640588404,13.761976328202778,5.324650972593495,1.200192382362715,-4972.220980099765
32.5,87.5,-0.0003043076462741277,-0.0011080765841861833,270.19943027787986,-27.31296014132107,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.011222313608192489,107.46347556011692,-4630.5742737860555
32.5,82.5,-0.0005524215823299271,-0.0014774013237640645,270.2043912933014,-27.305573587315312,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.018704808572561786,107.31332273315745,-4630.705213987299
32.5,77.5,-0.0010899350926346812,-0.0020107215873963165,270.2151345963324,-27.294907130473874,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.03414078849418899,107.00522102949124,-4630.977540784945
32.5,72.5,-0.0023782659291447803,-0.0028006947159078498,270.240892825947,-27.279107757134838,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.07050077485973695,106.28045250361325,-4631.62647002547
32.5,67.5,-0.005857645539757352,-0.004013722876028562,270.310492873995,-27.254847078019072,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.17189317464730464,104.24971437017642,-4633.466647439725
32.5,62.5,-0.016501747135429755,-0.005975465791781059,270.52337117283605,-27.21561228907684,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.43962804641115316,98.89474216960045,-4638.314377525266
32.5,57.5,-0.04916624506861139,-0.009392667917689107,271.1766635193019,-27.14726834945861,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,0.8658928285043705,90.37022238761006,-4645.727077939138
32.5,52.5,-0.006382715760348117,-0.016009371306432374,270.32098870112566,-27.01493432284591,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,1.43114129416973,79.06385870495426,-4657.1553671217725
32.5,47.5,2.5706719758743235,-0.030906047173896126,218.77991032581323,-26.717000675606208,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,2.083261545859148,66.02183028926721,-4718.226261998076
32.5,42.5,10.699507645144864,-0.07223955999274871,56.2032014824137,-25.89033037314454,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,2.781006191036401,52.06678265569673,-4885.146101370955
32.5,37.5,13.472171232096764,-0.21164636326773925,0.7498768949562816,-23.102194421950745,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,3.4864168921129357,37.95790517167161,-4948.5815000064895
32.5,32.5,13.537993592411505,-0.5665338944303107,-0.5665338944299385,-16.00444381707488,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,4.150071440510899,24.685599363194633,-4955.697876621927
32.5,27.5,13.516472445741808,-0.9825273814576846,-0.1362743401408191,-7.6845740679113,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,4.696241777234117,13.761974640198279,-4957.762716338446
32.5,22.5,13.512108459747369,-1.1978722778851132,-0.0488474454481389,-3.377676188297234,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,5.073698003959462,6.213801437512181,-4960.758817422521
32.5,17.5,13.510979427219171,-1.284192539964823,-0.02625365217063669,-1.6512709072205876,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,5.229690459661314,3.094079541854853,-4962.06099708273
32.5,12.5,13.510604667304355,-1.320536405226952,-0.01874216946024519,-0.9243936626024257,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,5.2893150626332375,1.9008770873896512,-4962.496904832072
32.5,7.5,13.510494184441962,-1.3372594966951932,-0.01659742740928751,-0.589931677930957,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,5.3145972031273745,1.3954221706082437,-4962.657304455967
32.5,2.5,13.510543061806635,-1.3454820853707428,-0.017544004175710014,-0.42547998962085326,-42.61148202871651,-4967.158353636122,4.15020377789378,24.685602474835978,5.324650972593495,1.200192382362715,-4962.687149074514
37.5,87.5,-0.0002989344530496334,-0.0012155404115143974,269.2377883452771,-8.080347306527322,-42.61148202871651,-4967.158353636122,3.486470030885897,37.9577087056101,0.011222313608192489,107.46347556011692,-4599.695032490731
37.5,82.5,-0.0005437383247889597,-0.001651066473029967,269.24280088381016,-8.071637493829279,-42.61148202871651,-4967.158353636122,3.486470030885897,37.9577087056101,0.018704808572561786,107.31332273315745,-4599.824660801429
37.5,77.5,-0.0010750170702825618,-0.002309082034952974,269.2533181960986,-8.058479813963821,-42.61148202871651,-4967.158353636122,3.486470030885897,37.9577087056101,0.03414078849418899,107.00522102949124,-4600.094840827326
37.5,72.5,-0.002351023845172925,-0.003345536388495244,269.27881663890753,-8.037747917218404,-42.61148202871651,-4967.158353636122,3.486470030885897,37.9577087056101,0.07050077485973695,106.28045250361325,-4600.739331488414
37.5,67.5,-0.005804617102970021,-0.005074291598927569,269.34794900424254,-8.003171461404952,-42.61148202871651,-4967.158353636122,3.486470030885897,37.9577087056101,0.17189317464730464,104.24971437017642,-4602.570150749382
