theta1,theta2,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,energy
2.5,87.5,-0.055007314804660805,-0.0015139440619610512,269.9308264061856,-0.053004882525935416,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,0.9730952178319756,88.22459390064303,-3406.0589146575953
2.5,82.5,-0.011295397495505738,-0.0017181414070007886,269.0566724798733,-0.04892093254969889,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,1.5810312585204191,76.06649418388604,-3418.4356405900357
2.5,77.5,2.6310942289776262,-0.001924509938703013,216.20887239471844,-0.04479356122040703,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,2.2659941945345445,62.36543918621943,-3481.653222107572
2.5,72.5,10.763222260450616,-0.0021300358992692135,53.56631385507701,-0.040683043303092505,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,2.9800891213151637,48.08497015285965,-3649.726121730363
2.5,67.5,13.456256856472509,-0.0023320866295112623,-0.29437371799550044,-0.03664202891810339,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,3.680492704773141,34.0770041816063,-3714.1974981315543
2.5,62.5,13.501370845895426,-0.002528056213092311,-1.1966786116574955,-0.03272263728672451,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,4.316293500620725,21.361438102492013,-3727.130730897012
2.5,57.5,13.462964838632073,-0.0027151014613767733,-0.4285573979794779,-0.02898173241316595,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,4.818151675186565,11.324158960092591,-3735.932882798806
2.5,52.5,13.449767067937392,-0.0028901101229768986,-0.16459681183909824,-0.025481558961685725,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.14811022304799,4.7250735726468855,-3741.9479216581544
2.5,47.5,13.445193439621256,-0.0030499612895412047,-0.0731619388880449,-0.02228453621355669,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.279226466103583,2.10224786240298,-3744.3497327091263
2.5,42.5,13.443394952866468,-0.00319200194832833,-0.03715983262584206,-0.019443721487323193,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.328784283700046,1.1125981151540676,-3745.2529222452044
2.5,37.5,13.442593056743869,-0.0033145284955959434,-0.021143312013927898,-0.016993190870702793,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.350774139079827,0.6713905231284248,-3745.654597353291
2.5,32.5,13.442200268566712,-0.003417038026379459,-0.013253254520554874,-0.014943000911583109,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.36197533590341,0.4476926744162006,-3745.8576490554356
2.5,27.5,13.44198842187392,-0.0035001428289173015,-0.009036901623150037,-0.01328090532329443,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.368212738552002,0.32346434620236814,-3745.9700564840105
2.5,22.5,13.441870637553327,-0.0035652246064294484,-0.006640939370600692,-0.011979269869161679,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.37181003297411,0.2500495382844618,-3746.036359265897
2.5,17.5,13.441798110639112,-0.003613999128633035,-0.005224409127024108,-0.011003778654247714,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.374153151071903,0.20509186775677754,-3746.076703098305
2.5,12.5,13.441756656416642,-0.0036481344021586895,-0.004378991158381053,-0.01032107369740021,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.375455792628592,0.1774888673914495,-3746.1015509236845
2.5,7.5,13.441732377616685,-0.003668983800434554,-0.0038979120225754453,-0.009904086123131524,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.376299808467415,0.16147676985112844,-3746.115866066874
2.5,2.5,13.441722609829773,-0.003677427416484822,-0.0036774274164843514,-0.009735214225684788,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.376702497200558,0.1541012001701384,-3746.122467802721
7.5,87.5,-0.05499236305388578,-0.001812983813508293,269.93083478801793,-0.05160265029159658,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,0.9730952178319756,88.22459390064303,-3406.050815247109
7.5,82.5,-0.01127914459490782,-0.0020432141769372446,269.056589277898,-0.04699804281496272,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,1.5810312585204191,76.06649418388604,-3418.427136837725
7.5,77.5,2.631111420958269,-0.0022682330849911007,216.20875697846293,-0.042497663065544956,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,2.2659941945345445,62.36543918621943,-3481.644395272418
7.5,72.5,10.763240416685973,-0.002484746255099887,53.566188215268376,-0.03816740057102407,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,2.9800891213151637,48.08497015285965,-3649.7170953971395
7.5,67.5,13.456275108289796,-0.002690426569723689,-0.2945030944609678,-0.03405379469030161,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,3.680492704773141,34.0770041816063,-3714.188406477494
7.5,62.5,13.501389379063166,-0.0028834214925806925,-1.196805053205161,-0.030193895840483247,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,4.316293500620725,21.361438102492013,-3727.121692544805
7.5,57.5,13.462991166596385,-0.003062014256082409,-0.42867538505290853,-0.026622032341921148,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,4.818151675186565,11.324158960092591,-3735.923988786218
7.5,52.5,13.449785021319032,-0.0032245268099214794,-0.16470229896654723,-0.023371789967214777,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.14811022304799,4.7250735726468855,-3741.939260955172
7.5,47.5,13.445213618594508,-0.003369453453421835,-0.07325250282294518,-0.020473255834927213,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.279226466103583,2.10224786240298,-3744.3413384214527
7.5,42.5,13.443410857368733,-0.0034957267117105206,-0.037234629196717765,-0.017947791558295983,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.328784283700046,1.1125981151540676,-3745.2448160476865
7.5,37.5,13.442610278567702,-0.0036029574836318524,-0.02120281272122802,-0.01580317623950912,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.350774139079827,0.6713905231284248,-3745.6467651621106
7.5,32.5,13.442212059170293,-0.0036915158619364088,-0.01329880412139609,-0.014032009033521968,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.36197533590341,0.4476926744162006,-3745.8500734159697
7.5,27.5,13.442001747931924,-0.003762409879100937,-0.009070240456487392,-0.01261412773680601,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.368212738552002,0.32346434620236814,-3745.962699101829
7.5,22.5,13.44188225434345,-0.0038170228970860988,-0.006663809439661076,-0.01152186801707211,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.37181003297411,0.2500495382844618,-3746.0291920311943
7.5,17.5,13.441811155009319,-0.0038568119830447163,-0.005238293758189524,-0.010726087076935844,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.374153151071903,0.20509186775677754,-3746.069696175423
7.5,12.5,13.441768452863387,-0.0038830466115693943,-0.0043849751540818655,-0.010201394047433662,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.375455792628592,0.1774888673914495,-3746.0946874593724
7.5,7.5,13.441745048505535,-0.003896618197484731,-0.0038966181975014177,-0.009929961667604195,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.376299808467415,0.16147676985112844,-3746.109132727681
7.5,2.5,13.441732364176426,-0.0038979120225754466,-0.0036689838004345487,-0.00990408612310484,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,5.376702497200558,0.1541012001701384,-3746.115866076841
12.5,87.5,-0.054969713118273825,-0.002265981883102012,269.9308630018166,-0.05258125871890186,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,0.9730952178319756,88.22459390064303,-3406.037027912847
12.5,82.5,-0.011254409649753364,-0.0025378894262115975,269.0565621484748,-0.04714310797518423,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,1.5810312585204191,76.06649418388604,-3418.412610895588
12.5,77.5,2.631137870014669,-0.0027944794610513203,216.20871925423714,-0.04201130783207345,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,2.2659941945345445,62.36543918621943,-3481.6292783617055
12.5,72.5,10.763267039759166,-0.00303273696341905,53.566142125916514,-0.0372461658769514,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,2.9800891213151637,48.08497015285965,-3649.701573542408
12.5,67.5,13.456301927338183,-0.0032513109494063386,-0.2945620746085344,-0.03287467795979755,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,3.680492704773141,34.0770041816063,-3714.172652329218
12.5,62.5,13.501417689961709,-0.0034496932772172823,-1.196869391102072,-0.028907031064714088,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,4.316293500620725,21.361438102492013,-3727.1058399017875
12.5,57.5,13.463010793934512,-0.0036276921270218675,-0.42873913564805577,-0.02534705364692673,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,4.818151675186565,11.324158960092591,-3735.9081555316266
12.5,52.5,13.449811050692354,-0.0037852265400882754,-0.16476107159660444,-0.0221963602394682,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,5.14811022304799,4.7250735726468855,-3741.9235108914067
12.5,47.5,13.445242226944327,-0.00392235159532852,-0.07330347238018134,-0.01945386459737023,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,5.279226466103583,2.10224786240298,-3744.32572621254
12.5,42.5,13.443433839958491,-0.0040393914158099445,-0.037276365376486445,-0.01711306823185453,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,5.328784283700046,1.1125981151540676,-3745.22937566563
12.5,37.5,13.442635105474505,-0.0041370517988867156,-0.021234978543919033,-0.015159859527068848,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,5.350774139079827,0.6713905231284248,-3745.631495201605
12.5,32.5,13.442239625358013,-0.004216425505563727,-0.013321785242336013,-0.013572376461572876,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,5.36197533590341,0.4476926744162006,-3745.83496603095
12.5,27.5,13.44202802832513,-0.004278874519405907,-0.009084776573875528,-0.012323404246810051,-107.83048876169573,-3662.7782189765385,5.3754557914248595,0.1774888673914488,5.368212738552002,0.32346434620236814,-3745.9477450216787
