theta1,theta2,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,energy
2.5,87.5,-0.05501720857652043,-0.0013160718717048982,269.9310861598487,-0.05696232367684451,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,0.9730952178319706,88.22455277755945,-3406.062465489748
2.5,82.5,-0.011306034783286591,-0.0015053544183834292,269.0568699762909,-0.05317667256622002,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,1.5810312589858508,76.0664961122613,-3418.439494755093
2.5,77.5,2.6310832160456994,-0.0017029915280367474,216.20908227733366,-0.0492239302485673,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,2.265994194534561,62.36543950421948,-3481.6572317705063
2.5,72.5,10.76321066231484,-0.0019066291057629645,53.566534900279976,-0.04515117947144132,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,2.980087791294142,48.08494579766747,-3649.730182697884
2.5,67.5,13.456244759748488,-0.00211381015141139,-0.2941555226956715,-0.04100755826544823,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,3.680492704773168,34.07700396559965,-3714.2014395018546
2.5,62.5,13.501359978865322,-0.0023216061338973883,-1.1964721592919907,-0.03685163861431326,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,4.316296734271227,21.361437769134632,-3727.134454962632
2.5,57.5,13.462954711888948,-0.0025262972935487286,-0.4283685969381278,-0.03275781494484228,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,4.818141301605133,11.32415895856798,-3735.9363017779774
2.5,52.5,13.449759446287572,-0.002723315744716132,-0.1644300173665754,-0.0288174465672798,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.148091248814271,4.725073572962578,-3741.9509505524775
2.5,47.5,13.445188043762444,-0.0029076207276358683,-0.07301959830674412,-0.025131346982924373,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.279208423767278,2.102247863838088,-3744.352318275513
2.5,42.5,13.443380195822419,-0.003074485304069447,-0.037042316017480356,-0.021794056102710888,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.328784765272325,1.1125981151540711,-3745.2550518220387
2.5,37.5,13.442590206576579,-0.003220398057087855,-0.021049181543564464,-0.01887580046958487,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.350760604275253,0.6713905231484515,-3745.6563080869328
2.5,32.5,13.442196171301298,-0.0033436491776683702,-0.013179865728358173,-0.01641077815446008,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.361976515184423,0.4476926744659512,-3745.858972972972
2.5,27.5,13.441987943223031,-0.0034443459629313377,-0.008981104774335094,-0.014396831987941408,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.3682191928442515,0.3234643462026786,-3745.971054841318
2.5,22.5,13.441865958196304,-0.003523944793059561,-0.0065996595610257345,-0.012804865667569004,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.371833000950672,0.2500495382844609,-3746.0370840134533
2.5,17.5,13.44179470976217,-0.0035845941273027868,-0.005195004112417103,-0.011591879388826717,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.374153152375654,0.20509186775872282,-3746.0772357885953
2.5,12.5,13.441754047237152,-0.003628552044605127,-0.004359408794762755,-0.010712721351929072,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.375464510118795,0.17748886739144887,-3746.101897298307
2.5,7.5,13.441731463973905,-0.0036577918453708277,-0.0038867200688498926,-0.010127932961351624,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.376299793816038,0.16147676985112616,-3746.1160684580977
2.5,2.5,13.441720083401737,-0.003673788350861117,-0.003673788350861125,-0.009807995761502982,-107.83048876169573,-3662.7782189765385,5.376702497200681,0.15410120017013895,5.37670177880565,0.15410120017013898,-3746.122536550949
7.5,87.5,-0.05502357467618807,-0.001188750509235468,269.9314342856229,-0.06408731652293867,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,0.9730952178319706,88.22455277755945,-3406.062148517137
7.5,82.5,-0.011312708968449013,-0.0013718809518508688,269.0572288248428,-0.060424707080160164,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,1.5810312589858508,76.0664961122613,-3418.439284257353
7.5,77.5,2.6310766140155066,-0.0015693929986759637,216.20944933764167,-0.056474466508007554,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,2.265994194534561,62.36543950421948,-3481.6570153655384
7.5,72.5,10.763205621999765,-0.0017799841780510718,53.566893792790125,-0.05226264197034236,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,2.980087791294142,48.08494579766747,-3649.72984077884
7.5,67.5,13.456239570422312,-0.002001868553343029,-0.29381458801742427,-0.04782495488375257,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,3.680492704773168,34.07700396559965,-3714.200836327102
7.5,62.5,13.501355164993814,-0.00223224460602136,-1.1961538742363922,-0.04321743298072182,-107.83048876169573,-3662.7782189765385,5.376299811940373,0.1614767698511269,4.316296734271227,21.361437769134632,-3727.133445039866
